"No.","Date","Genre","Bibl","URL","ContextBefore","Hit","ContextAfter"
"1","2000-12-31","Gebrauchsliteratur","Tange, Ernst Günter: Zitatenschatz für Lebenskünstler, Frankfurt a. M.: Eichborn 2000, S. 93","","Jack Benny","Niemals bin ich weniger müßig als in meinen Mußestunden und niemals weniger einsam, als wenn ichallein bin.","Marcus Tullius Cicero"
"2","2000-01-13","Zeitung","Die Zeit, 13.01.2000, Nr. 3","","Subkultur, Rebellionskultur, Unkultur, Antikultur und überhaupt Kultur konnte man da erlernen.","Aber das Wichtigste war eigentlich, dass man dort auf Leute traf, die das Wort Kultur nicht in ihrem Wortschatz führten.","Man wohnte zweites Hinterhaus, erster Stock, mit einem Berliner Zimmer (groß, dunkel, mit nur einem Fenster), einer Küche und dem Klo auf dem Treppenabsatz."
"3","2000-01-13","Zeitung","Die Zeit, 13.01.2000, Nr. 3","","Die Carl-Duisberg-Gesellschaft (Weyerstraße 79-83, 50676 Köln, Tel. 0221/209 81 11) vermittelt Studierende an amerikanische Unternehmen.","Für das Jahr 2000 sind etwa 240 Plätze vorgesehen.","Passt das Praktikum zum Studiengang, ist die Wahrscheinlichkeit eines Teil- oder Vollstipendiums recht hoch."
"4","2000-04-20","Zeitung","Die Zeit, 20.04.2000, Nr. 17","","Bei Silence is sexy, um es noch einmal zu bemühen, ist vier Tage lang das gleiche Stück gespielt worden, bis es das eine Mal funktioniert hat, einschließlich Gesang.","Das ist noch nicht einmal gemischt.","Früher war es ganz normal, dass fünf Musiker in einen Raum gehen, die Mikrofone aufstellen und einfach spielen; wenn einer sich verspielt, ist es eben vorbei, dann fängt man wieder von vorne an."
"5","2003-01-01","Belletristik","Funke, Cornelia: Tintenherz, Hamburg: Cecilie Dressler Verlag 2003, S. 441","","Schwarz sei sein Fall.","Wenn du den Laird siehst, dann erzähl's ihm nur; sag ihm, dass dies das zwölfhundertneunzehnte Mal war, dass Jennet Clouston den Fluch herabbeschworen hat auf ihn und sein Haus, auf Scheuer und Stall, Gesind und Gast, auf Mann, Frau, Fräulein und Kind – schwarz, schwarz sei ihr Fall!«","Robert L. Stevenson, Entführt"
"6","2006-01-01","Belletristik","Venske, Regula: Marthes Vision, Frankfurt am Main: Eichborn Verlag 2006, S. 58","","Und du läßt dir nichts einfallen, um den Fremden voranzutreiben.","Von Mittagsschlaf war ja die Rede, ihr haltet euch Arm in Arm.","Beat küßt dich behutsam, du lächelst immerhin, dann schläfst du wirklich ein."
"7","2001-12-31","Gebrauchsliteratur","Schwanitz, Dietrich: Männer, Frankfurt a. M.: Eichborn 2001, S. 210","","Männer dagegen lieben alles Schwabbelige.","Schließlich ist es ein Geschlechtsmerkmal.","Die Erklärung für die Affairen der Männer findet man nicht im Aussehen der Frauen, sondern im einem dramaturgischen Muster: Ein Mann wird durch den sexuellen Kontakt mit einer Frau nicht befleckt und besudelt."
"8","2006-01-01","Belletristik","Glavinic, Thomas: Die Arbeit der Nacht, München Wien: Carl Hanser Verlag 2006, S. 160","","Er tippte sich an die Stirn.","Der ganze Ausflug war eine Höllenidee gewesen, und jetzt war es an der Zeit, sich das einzugestehen.","Unter einem Regenschirm, der den Geruch von Wald verströmte, lief er die auf der Straße geparkten Autos ab."
"9","2000-03-02","Zeitung","Die Zeit, 02.03.2000, Nr. 10","","Auf den Klippen meines Prospektberges hocken die größten Schreihälse.","Das sind die billigen Jakobs der Telefontarife.","Sie bombardieren mich pausenlos mit Gratisminuten und Freisekunden."
"10","2000-03-09","Zeitung","Die Zeit, 09.03.2000, Nr. 11","","Inzwischen gibt 's schon mal Bolognas Teledemokratie: kostenloser Internet-Anschluss für jeden, kommunale Foren und Newsgroups, Bürgerbeteiligung per Mausklick.","Die neuen Medien sind auch Thema bei Bologna 2000 Città Europea della Cultura.","Als Schaukasten für das Kulturstadtprogramm fungiert der alte Schlachthof, wo ein neues Zentrum für Kunst, Musik, Theater, Performance entsteht; ein Teil der Show läuft in Echtzeit im Internet."
"11","2002-01-01","Wissenschaft","Schlögel, Karl: Petersburg, München Wien: Carl Hanser Verlag 2002, S. 127","","Vielleicht war es dieser Ton »De profundis«, der es im Jahre 1921 erlaubte, das Buch zu veröffentlichen.","Es ist das Jahr, in dem ein »Wechsel der Wegzeichen« innerhalb der Intelligencija manifest wird.","»Smena vech« 1921 Die alte lntelligencija und die Sowjetmacht."
"12","2004-01-01","Wissenschaft","Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 358","","Was seine Natur entfalten kann, ungekrümmt, unbedrückt, unverzerrt, was sich aus sich selbst zu sich selbst entwickelt im Schwung seiner lebendigen Form – das ist die Freiheitähnlichkeit und darum die Schönheit in der Natur.","Es ist eine Art Selbstbestimmung, wenn der Keim sich zur Blüte entfaltet; diese Entfaltung der inneren Natur, die sich zur Gestalt bringt, ist zwar noch keine hinreichende, aber eine notwendige Bedingung der Schönheit.","Das Gezwungene, Gehemmte, Gedrückte, sagt Schiller, kann niemals schön sein."
"13","2005-01-01","Belletristik","Schulze, Ingo: Neue Leben, Berlin: Berlin Verlag 2005, S. 653","","Tante Trockel warf sich zurück und begann aus vollem Hals zu lachen, so daß ein Sprühregen an Sahne und Krümeln vor ihr niederging.","»Ihr seid verrückt«, sagte Michaela, nahm ihre Handtasche und stand auf.","Ich hatte aber keine Lust zu gehen!"
"14","2004-01-01","Belletristik","Düffel, John von: Houwelandt, Köln: DuMont Literatur und Kunst Verlag 2004, S. 285","","Endlich hatte er Gewißheit, mehr als er sich wünschen konnte.","Jorge wußte jetzt, wo er war, er wußte, daß es keinen Weg zurück gab, man hatte ihn aufgegeben, es brauchte kein Pater zu kommen, um ihm das zu erklären.","Dennoch stand er kurz darauf wieder in seinem Zimmer, ein Rabe, der die Flügel zusammenschlug und auf ihn herabsah mit der Geduld eines Totenvogels an der Bettstatt des Verdammten."
"15","2005-01-01","Belletristik","Schulze, Ingo: Neue Leben, Berlin: Berlin Verlag 2005, S. 476","","Er sei auch zur Polizeischule Rummelsburg gefahren, aber man habe ihn nicht hineingelassen.","Tagsüber hätten sie gewartet und wären nur raus, um die Kinder auf den Spielplatz zu bringen.","Michaela hatte sich beim Sprechen etwas beruhigt, doch nur, um jetzt um so vehementer mit ihrer Selbstanklage zu beginnen."
"16","2001-01-01","Belletristik","Regener, Sven: Herr Lehmann, Frankfurt am Main: Eichborn AG 2006, S. 247. Zitiert nach: Regener, Sven: Herr Lehmann, Berlin: Eichborn Verlag 2001.","","Hast du Kristall-Rainer um Hilfe gebeten?","War der gerade zufällig im Osten und du hast ihn da getroffen?«","»Wieso willst du das denn jetzt wissen?«"
"17","2004-01-01","Wissenschaft","Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 353","","Der Materialismus ist das Produkt eines Geistes, der nicht weiß, daß und was er tut.","Später wird Schiller in den Briefen zur »Ästhetischen Erziehung des Menschengeschlechtes« schreiben: die Wahrheit ist nichts, was so wie die Wirklichkeit oder das sinnliche Dasein der Dinge von außen empfangen werden kann; sie ist etwas, das die Denkkraft selbsttätig und in ihrer Freiheit hervorbringt.","Das gilt dann auch für den Materialismus und das ihm innewohnende Konzept von (mechanischer) Notwendigkeit."
"18","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 87","","Der Gruppenzusammenhalt mußte nicht ausdrücklich hergestellt werden, das wurde vielleicht erst nötig, sobald ich hinzustieß.","Ich war mit ihnen verwandt, aber als Einzelkind das Zusammenleben mit anderen Kindern nicht gewohnt.","Ich unterschied mich deutlich von den dreien, und wie sehr ich mir auch immer gewünscht hätte, in dieser Gruppe aufzugehen, begreife ich es im Rückblick doch als Gewinn, daß mir keine andere Möglichkeit blieb, als Nora, Carl und Paulina stets von einer Außenposition her zu betrachten."
